Symbol,Series,ClosePrice,TodayVolume,ValueTraded,2026-07-28
AZAD,EQ,2401.10,420227,1007519732.50
BBTCL,EQ,217.03,3909,850581.53
BAGFILMS,EQ,4.55,40153,183208.49
BLKASHYAP,EQ,54.14,372854,20505566.62
BAIDFIN,EQ,10.03,54212,542752.22
BAJAJ-AUTO,EQ,11374.00,357417,4044885876.50
BAJAJCON,EQ,530.95,220654,117628436.80
BAJAJELEC,EQ,327.05,54220,17842578.25
BAJFINANCE,EQ,1048.40,4726447,4951572335.20
BAJAJFINSV,EQ,1927.90,1415016,2725108920.60
BAJAJHCARE,EQ,321.75,376703,120777200.50
BAJAJHIND,EQ,16.80,2418622,40822053.02
BAJAJHLDNG,EQ,10831.00,50011,540454828.00
BAJAJHFL,EQ,85.66,2069198,177295690.90
BAJAJST,EQ,405.70,18445,7465475.25
BAJEL,EQ,175.49,91358,16067566.35
BALPHARMA,EQ,87.49,16520,1456754.02
BALAMINES,EQ,2241.50,969993,2231663330.60
BALAJITELE,EQ,82.60,98819,8307390.54
BALAXI,EQ,24.44,22411,541351.98
BALKRISIND,EQ,2013.20,152769,309442040.40
BALKRISHNA,EQ,17.95,8556,152176.92
BALMLAWRIE,EQ,175.98,37806,6653471.92
BLIL,EQ,70.06,36169,2531222.22
BALRAMCHIN,EQ,605.25,156927,95434206.45
BALUFORGE,EQ,445.90,301551,133533450.05
BANARBEADS,EQ,117.98,2578,307632.07
BANCOINDIA,EQ,622.35,71771,44900377.40
BANDHANBNK,EQ,168.84,9940396,1673987530.67
GOLDBND,EQ,141.49,25938,3670583.97
IDFNIFTYET,EQ,264.23,131,34674.07
SILVERBND,EQ,216.85,4886,1061631.46
BANG,EQ,29.19,17289,502147.73
BANKBARODA,EQ,239.20,8526492,2049448795.10
BANKINDIA,EQ,136.32,8337190,1139614082.53
MAHABANK,EQ,80.20,7527183,604986468.06
BANARISUG,EQ,3482.70,112,389529.60
BANSALWIRE,EQ,309.15,183782,57056469.25
BANSWRAS,EQ,128.97,63744,8287968.33
BVCL,EQ,40.70,3894,158593.38
BBNPNBETF,EQ,57.28,216,12377.14
BBNPPGOLD,EQ,136.25,90806,12396103.50
BASF,EQ,3700.20,6473,23969973.80
BATAINDIA,EQ,694.95,195732,136880584.80
BATLIBOI,EQ,83.40,13552,1142321.58
BAYERCROP,EQ,4219.40,13467,56895269.40
BCLIND,EQ,34.56,323080,11208449.77
BCPL,EQ,70.47,5420,383541.52
BEARDSELL,EQ,27.17,13502,372442.12
BEDMUTHA,EQ,108.34,6974,756668.67
BEEKAY,EQ,408.55,832,336563.60
BELLACASA,EQ,241.80,4412,1062036.80
BELRISE,EQ,229.03,2163861,496033287.98
BLAL,EQ,177.23,7433,1320981.96
BEML,EQ,1759.20,131463,231425372.00
BENGALASM,EQ,6315.00,235,1478775.50
BERGEPAINT,EQ,499.35,103531,51963464.70
BESTAGRO,EQ,15.26,347983,5424703.79
BETA,EQ,2109.80,89976,190898273.30
BFINVEST,EQ,450.50,24666,11194399.00
BFUTILITIE,EQ,569.30,27952,15987279.70
BANK10BETF,EQ,20.73,18109,374075.33
BANKBETF,EQ,57.77,24232,1399626.39
LIQUIDBETF,EQ,1092.11,351691,384085637.81
NIFTYBETF,EQ,246.56,1821,449580.90
BHAGCHEM,EQ,263.40,38743,10243021.30
BEPL,EQ,113.41,2383519,271963519.46
BBL,EQ,2523.40,20888,53200066.90
BHARATCOAL,EQ,34.27,6402971,221432598.61
BDL,EQ,1271.00,1200970,1519287127.20
BEL,EQ,389.00,35317783,13877815253.50
BHARATFORG,EQ,2162.70,734961,1587679139.00
BPCL,EQ,320.05,5455392,1744239145.60
BHARATRAS,EQ,1275.70,4347,5567554.80
BRNL,EQ,17.51,39018,685993.18
BHARATSE,EQ,210.54,393959,81716977.00
BHARATWIRE,EQ,197.53,111758,22454406.43
BHARTIARTL,EQ,1901.80,6309089,11984625934.30
BHARTIHEXA,EQ,1604.60,30954,49784381.00
BIL,EQ,778.85,4168,3205104.70
BHEL,EQ,405.75,6949460,2820216664.65
BIGBLOC,EQ,45.97,54931,2540639.47
BIKAJI,EQ,633.95,82140,52203380.15
BI,EQ,59.25,2296,135517.13
GROWW,EQ,195.30,17536406,3459027728.10
BIMETAL,EQ,638.15,720,471582.45
BIOCON,EQ,432.45,3429523,1482840386.90
BIOFILCHEM,EQ,32.64,4048,132375.72
BIRLACORPN,EQ,875.75,388055,345605893.60
BIRLAPREC,EQ,34.37,11383,393147.68
BIRLANU,EQ,1351.70,4047,5499629.30
ABGSEC,EQ,113.98,281,32025.70
ABSL10BANK,EQ,166.10,4248,712568.64
ABSLBANETF,EQ,58.18,28350,1651807.25
ABSLLIQUID,EQ,1000.00,1541,1541000.21
ABSLMSCIN,EQ,29.28,34,999.63
ABSLNN50ET,EQ,75.74,2914,221699.20
BSLSENETFG,EQ,77.35,596,46155.71
GSEC10ABSL,EQ,112.09,100,11210.95
HEALTHY,EQ,16.99,222683,3776372.79
MOMENTUM,EQ,30.39,44236,1345189.96
NIFTYQLITY,EQ,21.40,39152,839602.74
SILVER,EQ,215.49,1083037,234247530.20
TECH,EQ,33.25,370593,12338664.98
ABSLPSE,EQ,10.25,166654,1711465.92
BSOFT,EQ,299.90,5739497,1747907735.95
BBOX,EQ,732.45,376264,280126066.35
BLACKBUCK,EQ,543.30,136467,74671899.30
BLBLIMITED,EQ,15.85,51478,826062.12
